House number,Date start,Date end,Total no. of days,No. of days missing,% of days missing,No. of days incomplete,% of days incomplete,Total no. of values recorded,No. of values missing data,% of values missing data,Number of values with issues,% of values with issues,Longest period of missing days
1,2013-10-09 13:06:17,2015-07-10 11:56:32,640,61,9.53,57,8.91,6960008,44,0.0,58183,0.84,40
2,2013-09-17 22:08:11,2015-05-28 08:05:43,619,128,20.68,58,9.37,5733526,75,0.0,28444,0.5,61
3,2013-09-25 19:21:09,2015-06-02 10:55:42,616,54,8.77,47,7.63,6994594,50,0.0,408627,5.84,40
4,2013-10-11 10:19:17,2015-07-07 09:57:38,635,41,6.46,79,12.44,6760511,58,0.0,67441,1.0,13
5,2013-09-26 09:56:09,2015-07-06 17:48:55,649,21,3.24,76,11.71,7430755,7,0.0,425766,5.73,8
6,2013-11-28 12:15:35,2015-06-28 22:14:45,578,69,11.94,52,9.0,6241971,339,0.01,34451,0.55,32
7,2013-11-01 22:01:18,2015-07-08 02:10:54,615,61,9.92,51,8.29,6756034,326,0.0,161919,2.4,40
8,2013-11-01 22:13:18,2015-05-10 23:36:10,556,43,7.73,43,7.73,6118469,47,0.0,25000,0.41,38
9,2013-12-17 17:26:20,2015-07-08 18:52:50,569,74,13.01,35,6.15,6169525,22,0.0,32226,0.52,40
10,2013-11-20 11:31:18,2015-06-30 11:07:07,588,22,3.74,79,13.44,6739284,129,0.0,30162,0.45,8
11,2014-06-03 11:36:21,2015-06-30 15:12:08,393,31,7.89,33,8.4,4431541,162,0.0,40114,0.91,9
12,2014-03-07 10:52:15,2015-07-08 02:10:54,489,20,4.09,37,7.57,5859544,115,0.0,14183,0.24,8
13,2014-01-17 22:26:20,2015-05-31 11:06:07,500,89,17.8,79,15.8,4737371,2,0.0,123796,2.61,40
15,2013-12-17 17:24:18,2015-07-08 02:10:54,569,38,6.68,69,12.13,6225696,10,0.0,23349,0.38,8
16,2014-01-10 10:58:19,2015-07-08 02:10:54,545,52,9.54,70,12.84,5722544,3,0.0,14713,0.26,17
17,2014-03-06 16:23:19,2015-06-19 14:52:18,471,19,4.03,37,7.86,5431577,21,0.0,85937,1.58,8
18,2014-03-07 10:33:18,2015-05-24 11:34:04,444,15,3.38,34,7.66,5007721,23682,0.47,174490,3.48,8
19,2014-03-06 16:23:19,2015-06-20 03:32:54,472,19,4.03,33,6.99,5622610,19,0.0,62636,1.11,8
20,2014-03-20 12:01:19,2015-06-23 19:44:00,461,19,4.12,27,5.86,5168605,1,0.0,19594,0.38,8
21,2014-03-07 16:20:20,2015-07-10 11:56:35,491,33,6.72,45,9.16,5383993,72,0.0,206832,3.84,14
